,hyperparameters,num_features,mean_accuracy,std_accuracy,train_accuracy,test_accuracy
1837,"penalty: l2, C: 0.01, solver: saga",93,0.70811917,0.035675324,0.773722628,0.760869565
1838,"penalty: l2, C: 0.1, solver: saga",93,0.710546354,0.03179036,0.776155718,0.760869565
1839,"penalty: l2, C: 1, solver: saga",93,0.70811917,0.035675324,0.771289538,0.760869565
1845,"penalty: l2, C: 0.0001, solver: liblinear",94,0.744550733,0.02666914,0.771289538,0.760869565
1846,"penalty: l2, C: 0.001, solver: liblinear",94,0.793213402,0.041840222,0.822384428,0.760869565
1853,"penalty: l1, C: 0.1, solver: saga",94,0.705691986,0.030943343,0.768856448,0.760869565
1854,"penalty: l1, C: 1, solver: saga",94,0.713021131,0.038362812,0.785888078,0.760869565
1855,"penalty: l2, C: 0.0001, solver: saga",94,0.71057015,0.035162062,0.761557178,0.760869565
1856,"penalty: l2, C: 0.001, solver: saga",94,0.712997335,0.031772641,0.778588808,0.760869565
1857,"penalty: l2, C: 0.01, solver: saga",94,0.720302684,0.033826359,0.783454988,0.760869565
1858,"penalty: l2, C: 0.1, solver: saga",94,0.715448315,0.035113209,0.783454988,0.760869565
1859,"penalty: l2, C: 1, solver: saga",94,0.715448315,0.035113209,0.783454988,0.760869565
1865,"penalty: l2, C: 0.0001, solver: liblinear",95,0.742123548,0.030820373,0.766423358,0.760869565
1866,"penalty: l2, C: 0.001, solver: liblinear",95,0.790786217,0.045651875,0.822384428,0.760869565
1873,"penalty: l1, C: 0.1, solver: saga",95,0.705715781,0.037671131,0.768856448,0.760869565
1874,"penalty: l1, C: 1, solver: saga",95,0.705763373,0.048426686,0.781021898,0.760869565
1875,"penalty: l2, C: 0.0001, solver: saga",95,0.705715781,0.041254004,0.759124088,0.760869565
1876,"penalty: l2, C: 0.001, solver: saga",95,0.705763373,0.048426686,0.778588808,0.760869565
1877,"penalty: l2, C: 0.01, solver: saga",95,0.703336189,0.051752168,0.781021898,0.760869565
1878,"penalty: l2, C: 0.1, solver: saga",95,0.708190558,0.045247633,0.781021898,0.760869565
1879,"penalty: l2, C: 1, solver: saga",95,0.705763373,0.048426686,0.783454988,0.760869565
1885,"penalty: l2, C: 0.0001, solver: liblinear",96,0.744550733,0.03298911,0.768856448,0.760869565
1893,"penalty: l1, C: 0.1, solver: saga",96,0.703264801,0.034583627,0.766423358,0.760869565
1894,"penalty: l1, C: 1, solver: saga",96,0.708166762,0.040966385,0.785888078,0.760869565
1895,"penalty: l2, C: 0.0001, solver: saga",96,0.705715781,0.041254004,0.756690998,0.760869565
1897,"penalty: l2, C: 0.01, solver: saga",96,0.700885208,0.048450165,0.783454988,0.760869565
1898,"penalty: l2, C: 0.1, solver: saga",96,0.705739577,0.044451376,0.783454988,0.760869565
1899,"penalty: l2, C: 1, solver: saga",96,0.703312393,0.045013037,0.783454988,0.760869565
1913,"penalty: l1, C: 0.1, solver: saga",97,0.698410432,0.038682867,0.763990268,0.760869565
1915,"penalty: l2, C: 0.0001, solver: saga",97,0.703288597,0.041290389,0.759124088,0.760869565
1933,"penalty: l1, C: 0.1, solver: saga",98,0.700837617,0.035132072,0.766423358,0.760869565
1935,"penalty: l2, C: 0.0001, solver: saga",98,0.700861413,0.041752209,0.759124088,0.760869565
1946,"penalty: l2, C: 0.001, solver: liblinear",99,0.802969732,0.046556217,0.827250608,0.760869565
1953,"penalty: l1, C: 0.1, solver: saga",99,0.698410432,0.038682867,0.768856448,0.760869565
1955,"penalty: l2, C: 0.0001, solver: saga",99,0.698410432,0.038682867,0.756690998,0.760869565
1966,"penalty: l2, C: 0.001, solver: liblinear",100,0.800542547,0.043995958,0.824817518,0.760869565
1973,"penalty: l1, C: 0.1, solver: saga",100,0.698410432,0.038682867,0.766423358,0.760869565
1976,"penalty: l2, C: 0.001, solver: saga",100,0.698386636,0.041172062,0.766423358,0.760869565
1983,"penalty: l1, C: 0.1, solver: liblinear",101,0.763896821,0.050182376,0.824817518,0.760869565
1985,"penalty: l2, C: 0.0001, solver: liblinear",101,0.742099753,0.032489414,0.756690998,0.760869565
2003,"penalty: l1, C: 0.1, solver: liblinear",102,0.763896821,0.050182376,0.824817518,0.760869565
2005,"penalty: l2, C: 0.0001, solver: liblinear",102,0.742099753,0.032489414,0.756690998,0.760869565
2013,"penalty: l1, C: 0.1, solver: saga",102,0.703288597,0.037080826,0.773722628,0.760869565
2016,"penalty: l2, C: 0.001, solver: saga",102,0.705715781,0.037040306,0.776155718,0.760869565
2023,"penalty: l1, C: 0.1, solver: liblinear",103,0.763896821,0.050182376,0.824817518,0.760869565
2025,"penalty: l2, C: 0.0001, solver: liblinear",103,0.739672568,0.031615465,0.756690998,0.760869565
2036,"penalty: l2, C: 0.001, solver: saga",103,0.70811917,0.035675324,0.776155718,0.760869565
2039,"penalty: l2, C: 1, solver: saga",103,0.708142966,0.037474368,0.781021898,0.760869565
2043,"penalty: l1, C: 0.1, solver: liblinear",104,0.773676947,0.056120557,0.832116788,0.760869565
2045,"penalty: l2, C: 0.0001, solver: liblinear",104,0.754259471,0.027747509,0.766423358,0.760869565
2055,"penalty: l2, C: 0.0001, solver: saga",104,0.708142966,0.033489543,0.759124088,0.760869565
2063,"penalty: l1, C: 0.1, solver: liblinear",105,0.773676947,0.056120557,0.834549878,0.760869565
2065,"penalty: l2, C: 0.0001, solver: liblinear",105,0.754259471,0.027747509,0.766423358,0.760869565
2083,"penalty: l1, C: 0.1, solver: liblinear",106,0.771178374,0.068225406,0.832116788,0.760869565
2085,"penalty: l2, C: 0.0001, solver: liblinear",106,0.747001713,0.034015359,0.761557178,0.760869565
2095,"penalty: l2, C: 0.0001, solver: saga",106,0.725204645,0.054075319,0.756690998,0.760869565
2103,"penalty: l1, C: 0.1, solver: liblinear",107,0.771178374,0.068225406,0.829683698,0.760869565
2105,"penalty: l2, C: 0.0001, solver: liblinear",107,0.747001713,0.034015359,0.761557178,0.760869565
2115,"penalty: l2, C: 0.0001, solver: saga",107,0.725204645,0.054075319,0.756690998,0.760869565
2123,"penalty: l1, C: 0.1, solver: liblinear",108,0.771178374,0.068225406,0.832116788,0.760869565
2125,"penalty: l2, C: 0.0001, solver: liblinear",108,0.747001713,0.034015359,0.761557178,0.760869565
2135,"penalty: l2, C: 0.0001, solver: saga",108,0.725204645,0.054075319,0.756690998,0.760869565
2143,"penalty: l1, C: 0.1, solver: liblinear",109,0.771178374,0.068225406,0.829683698,0.760869565
2163,"penalty: l1, C: 0.1, solver: liblinear",110,0.766324005,0.073017938,0.829683698,0.760869565
2183,"penalty: l1, C: 0.1, solver: liblinear",111,0.759018656,0.07317505,0.827250608,0.760869565
2226,"penalty: l2, C: 0.001, solver: liblinear",113,0.790762421,0.045751212,0.824817518,0.760869565
2243,"penalty: l1, C: 0.1, solver: liblinear",114,0.766419189,0.072335232,0.846715328,0.760869565
2244,"penalty: l1, C: 1, solver: liblinear",114,0.783457072,0.035232502,0.892944039,0.760869565
2247,"penalty: l2, C: 0.01, solver: liblinear",114,0.79561679,0.058661949,0.863746959,0.760869565
2263,"penalty: l1, C: 0.1, solver: liblinear",115,0.768846374,0.068807006,0.846715328,0.760869565
2264,"penalty: l1, C: 1, solver: liblinear",115,0.788335237,0.036479853,0.895377129,0.760869565
2267,"penalty: l2, C: 0.01, solver: liblinear",115,0.79561679,0.062925765,0.863746959,0.760869565
2283,"penalty: l1, C: 0.1, solver: liblinear",116,0.768846374,0.068807006,0.846715328,0.760869565
2284,"penalty: l1, C: 1, solver: liblinear",116,0.788335237,0.036479853,0.895377129,0.760869565
2287,"penalty: l2, C: 0.01, solver: liblinear",116,0.793189606,0.065969222,0.863746959,0.760869565
2303,"penalty: l1, C: 0.1, solver: liblinear",117,0.768846374,0.068807006,0.846715328,0.760869565
